Date,Open,High,Low,Close,Adj Close,Volume
2015-08-11,1289,1305,1271.050049,1302.099976,1155.983032,2200306
2015-08-12,1301.550049,1345.699951,1301,1335.849976,1185.945679,3479784
2015-08-13,1335,1342,1278,1317.800049,1169.921753,1406426
2015-08-14,1319,1359.675049,1318.550049,1351.599976,1199.928467,2293964
2015-08-17,1345.050049,1348.400024,1327.5,1342.375,1191.73877,773644
2015-08-18,1353.449951,1374.949951,1345,1370.449951,1216.663574,1916926
2015-08-19,1375,1376.425049,1360.949951,1366.800049,1213.423096,1690070
2015-08-20,1372.5,1372.5,1336,1343.425049,1192.670898,2349298
2015-08-21,1356,1364.949951,1327.550049,1338.074951,1187.920898,3536080
2015-08-24,1319.5,1322.5,1284.550049,1289.324951,1144.641602,4692344
2015-08-25,1293.949951,1311,1267.75,1283.574951,1139.536987,3925800
2015-08-26,1279.025024,1319.5,1255.974976,1288.375,1143.798096,3216158
2015-08-27,1307.449951,1307.449951,1272.900024,1287.324951,1142.866211,5264798
2015-08-28,1304.5,1304.5,1278.849976,1285.425049,1141.179443,2744152
2015-08-31,1295,1295,1265.525024,1282.025024,1138.161133,3692044
2015-09-01,1278,1305.599976,1265,1268.699951,1126.331299,2987602
2015-09-02,1279.849976,1310.224976,1274,1295.900024,1150.478882,3765950
2015-09-03,1298.050049,1307.5,1288.125,1302.800049,1156.60437,2265074
2015-09-04,1305.699951,1307.449951,1269.574951,1273.724976,1130.79248,2426396
2015-09-07,1276.5,1279.974976,1266.349976,1269.875,1127.37439,1759184
2015-09-08,1272.5,1282.050049,1261.75,1270.150024,1127.618896,1787746
2015-09-09,1281.474976,1287,1272,1274.875,1131.813232,2045076
2015-09-10,1271,1289.25,1263.5,1272.699951,1129.882324,2665818
2015-09-11,1273.25,1284.199951,1270.300049,1276,1132.812378,1592672
2015-09-14,1282.5,1282.5,1271.5,1275.824951,1132.656616,1589318
2015-09-15,1275.824951,1279.449951,1268,1268.625,1126.264526,1379900
2015-09-16,1277.5,1282.5,1270.525024,1275.175049,1132.07959,1756816
2015-09-18,1282.5,1293,1269.5,1275.625,1132.479004,2455294
2015-09-21,1275,1278.550049,1266.599976,1275.525024,1132.390259,1108840
2015-09-22,1278.75,1286.199951,1245,1263.400024,1121.626343,2081246
2015-09-23,1267.150024,1278.875,1256.300049,1266.324951,1124.222778,1228352
2015-09-24,1267.75,1295,1264.949951,1290.199951,1145.418579,2354254
2015-09-28,1297,1309.5,1289.75,1296.849976,1151.322388,2366812
2015-09-29,1291.675049,1317,1284.925049,1294.125,1148.903198,3325952
2015-09-30,1321.849976,1321.849976,1285.474976,1294.025024,1148.814575,3368336
2015-10-01,1299.5,1324.974976,1296.099976,1322.300049,1173.916504,2834408
2015-10-05,1326.349976,1385,1326.349976,1355.824951,1203.679443,4807306
2015-10-06,1362.5,1363,1342,1350,1198.508301,3979590
2015-10-07,1346.974976,1358.5,1323.474976,1326.974976,1178.067017,2065530
2015-10-08,1335,1339.175049,1310,1316.900024,1169.122437,2357550
2015-10-09,1325.25,1325.300049,1304,1314.824951,1167.280151,2249724
2015-10-12,1327.5,1330.175049,1293.5,1296.300049,1150.833984,2455912
2015-10-13,1301.400024,1306,1283.800049,1299.275024,1153.475098,6179712
2015-10-14,1274,1274,1240,1241.849976,1102.494263,8337128
2015-10-15,1245,1251.75,1232.5,1233.875,1095.413696,3215710
